area,area_title,prim_state,occ_code,occ_title,o_group,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse,h_pct25,h_median,h_pct75,a_pct25,a_median,a_pct75
1,Alabama,AL,00-0000,All Occupations,total,2053090,0,1000,1,25.67,53400,0.2,14.22,19.88,30.09,29580,41350,62580
2,Alaska,AK,00-0000,All Occupations,total,311610,0,1000,1,33.6,69880,0.3,18.62,26.99,40.52,38720,56140,84280
4,Arizona,AZ,00-0000,All Occupations,total,3129720,0,1000,1,30.31,63040,0.5,17.38,22.92,35.05,36150,47680,72900
5,Arkansas,AR,00-0000,All Occupations,total,1271320,0,1000,1,24.64,51250,0.2,14.42,18.78,28.32,30000,39060,58900
6,California,CA,00-0000,All Occupations,total,17945910,0,1000,1,37,76960,0.4,18.21,25.98,44.83,37890,54030,93250
8,Colorado,CO,00-0000,All Occupations,total,2832010,0,1000,1,34.6,71960,0.3,18.67,25.98,40.22,38830,54050,83660
9,Connecticut,CT,00-0000,All Occupations,total,1660330,0,1000,1,35.45,73740,0.4,18.18,26.98,41.7,37820,56130,86740
10,Delaware,DE,00-0000,All Occupations,total,469280,0,1000,1,31.73,65990,0.4,16.93,23.69,38.15,35220,49280,79350
11,District of Columbia,DC,00-0000,All Occupations,total,701840,0,1000,1,51.07,106230,0.5,24.61,40.6,65.15,51180,84450,135510
12,Florida,FL,00-0000,All Occupations,total,9568260,0,1000,1,28.95,60210,0.2,16.22,21.67,32.5,33730,45070,67600
13,Georgia,GA,00-0000,All Occupations,total,4757900,0,1000,1,29.45,61250,0.6,15.66,21.86,34.92,32580,45480,72620
15,Hawaii,HI,00-0000,All Occupations,total,616980,0,1000,1,31.27,65030,0.7,17.65,24.28,36.86,36700,50510,76670
16,Idaho,ID,00-0000,All Occupations,total,822690,0,1000,1,26.75,55640,0.4,16.19,21.27,30.26,33680,44240,62930
17,Illinois,IL,00-0000,All Occupations,total,6011660,0,1000,1,32.27,67130,0.6,17.49,23.43,38.19,36380,48730,79430
18,Indiana,IN,00-0000,All Occupations,total,3156740,0,1000,1,27.12,56420,0.4,16.49,21.86,30.94,34290,45470,64350
19,Iowa,IA,00-0000,All Occupations,total,1544760,0,1000,1,27.12,56400,0.2,16.81,22.34,31.01,34960,46460,64490
20,Kansas,KS,00-0000,All Occupations,total,1412000,0,1000,1,27.05,56270,0.3,16,21.76,31.09,33280,45250,64670
21,Kentucky,KY,00-0000,All Occupations,total,1963060,0,1000,1,25.97,54030,0.3,15.19,21.02,29.84,31600,43730,62060
22,Louisiana,LA,00-0000,All Occupations,total,1851860,0,1000,1,25.69,53440,0.3,13.89,19.87,30.23,28900,41320,62880
23,Maine,ME,00-0000,All Occupations,total,621750,0,1000,1,28.85,60000,0.7,17.86,22.88,32.33,37150,47590,67250
24,Maryland,MD,00-0000,All Occupations,total,2677430,0,1000,1,35.4,73620,0.4,17.99,26.83,43.57,37420,55810,90630
25,Massachusetts,MA,00-0000,All Occupations,total,3643450,0,1000,1,38.62,80330,0.4,19.3,29.18,47.17,40130,60690,98110
26,Michigan,MI,00-0000,All Occupations,total,4347960,0,1000,1,29.13,60600,0.2,17,22.57,34.95,35360,46940,72690
27,Minnesota,MN,00-0000,All Occupations,total,2881100,0,1000,1,32.07,66700,0.5,18.03,24.46,38.06,37510,50880,79170
28,Mississippi,MS,00-0000,All Occupations,total,1149950,0,1000,1,22.87,47570,0.3,13.42,18.03,26.86,27910,37500,55870
29,Missouri,MO,00-0000,All Occupations,total,2876400,0,1000,1,27.68,57580,0.6,16.07,21.67,31.4,33430,45080,65310
30,Montana,MT,00-0000,All Occupations,total,501730,0,1000,1,26.88,55920,0.6,16.5,21.97,30.9,34320,45690,64270
31,Nebraska,NE,00-0000,All Occupations,total,1000860,0,1000,1,27.92,58080,0.3,16.86,22.33,31.98,35060,46440,66510
32,Nevada,NV,00-0000,All Occupations,total,1481820,0,1000,1,28.32,58900,0.9,16.19,21.54,31.79,33670,44810,66120
33,New Hampshire,NH,00-0000,All Occupations,total,675150,0,1000,1,31.78,66110,0.3,17.85,24.03,37.21,37130,49980,77390
34,New Jersey,NJ,00-0000,All Occupations,total,4202170,0,1000,1,35.57,73980,0.3,17.95,26.38,43.1,37330,54860,89650
35,New Mexico,NM,00-0000,All Occupations,total,845580,0,1000,1,27.65,57520,0.2,14.92,20.97,31.91,31030,43620,66370
36,New York,NY,00-0000,All Occupations,total,9392830,0,1000,1,37.8,78620,0.4,18.36,27.33,44.74,38180,56840,93050
37,North Carolina,NC,00-0000,All Occupations,total,4795040,0,1000,1,28.71,59730,0.2,15.82,21.85,32.68,32910,45440,67980
38,North Dakota,ND,00-0000,All Occupations,total,417500,0.1,1000,1,28.39,59050,0.6,17.7,23.47,32.83,36820,48830,68280
39,Ohio,OH,00-0000,All Occupations,total,5469160,0,1000,1,28.79,59890,0.3,16.69,22.45,34.55,34720,46690,71860
40,Oklahoma,OK,00-0000,All Occupations,total,1664310,0,1000,1,25.7,53450,0.4,14.38,19.94,29.99,29920,41480,62380
41,Oregon,OR,00-0000,All Occupations,total,1943180,0,1000,1,32.07,66710,0.3,18.13,24.04,37.83,37700,50010,78680
42,Pennsylvania,PA,00-0000,All Occupations,total,5948490,0,1000,1,29.77,61920,0.4,16.83,22.81,35.66,35000,47430,74170
44,Rhode Island,RI,00-0000,All Occupations,total,488220,0,1000,1,32.02,66610,0.4,17.81,24.5,38.78,37040,50970,80670
45,South Carolina,SC,00-0000,All Occupations,total,2222950,0,1000,1,26.08,54250,0.3,14.8,20.3,30.24,30780,42220,62900
46,South Dakota,SD,00-0000,All Occupations,total,444400,0,1000,1,25.59,53230,0.3,15.85,21,28.84,32970,43680,59980
47,Tennessee,TN,00-0000,All Occupations,total,3219060,0,1000,1,26.94,56030,0.5,15.73,21.07,30.3,32710,43820,63030
48,Texas,TX,00-0000,All Occupations,total,13557950,0,1000,1,29.44,61240,0.4,15.35,22.1,34.92,31920,45970,72640
49,Utah,UT,00-0000,All Occupations,total,1678660,0,1000,1,29.36,61070,0.4,17.08,22.6,34.29,35530,47020,71330
50,Vermont,VT,00-0000,All Occupations,total,300760,0,1000,1,30.18,62780,0.4,18.27,23.86,35.48,38010,49630,73800
51,Virginia,VA,00-0000,All Occupations,total,3981130,0,1000,1,33.68,70050,0.5,17.15,24,39.17,35670,49920,81480
53,Washington,WA,00-0000,All Occupations,total,3495500,0,1000,1,37.56,78130,0.3,20.85,28.81,45.76,43370,59920,95180
54,West Virginia,WV,00-0000,All Occupations,total,688670,0,1000,1,25.1,52200,0.3,14.07,19.12,29.42,29260,39770,61190
55,Wisconsin,WI,00-0000,All Occupations,total,2885990,0,1000,1,28.61,59500,0.3,17.19,22.88,32.76,35760,47590,68140
56,Wyoming,WY,00-0000,All Occupations,total,273750,0,1000,1,27.85,57930,0.3,16.6,22.72,33.05,34530,47250,68740
1,Alabama,AL,11-0000,Management Occupations,major,105580,0.8,51.424,0.74,56.21,116920,0.5,35.18,47.95,67.22,73180,99740,139810
2,Alaska,AK,11-0000,Management Occupations,major,23750,1.3,76.215,1.1,59.74,124260,0.9,38.45,52.25,70.07,79980,108680,145750
4,Arizona,AZ,11-0000,Management Occupations,major,232000,0.9,74.128,1.07,59.53,123820,1.2,33.65,49.31,74.48,69990,102560,154920
5,Arkansas,AR,11-0000,Management Occupations,major,89800,1.4,70.633,1.02,47.14,98060,0.6,25.64,38.74,57.74,53330,80570,120100
6,California,CA,11-0000,Management Occupations,major,1308800,0.7,72.93,1.06,77.1,160360,1.4,43.76,65.31,97.97,91020,135840,203770
8,Colorado,CO,11-0000,Management Occupations,major,156700,1.7,55.331,0.8,74.99,155970,1,48.33,65.95,88.46,100530,137170,184000
9,Connecticut,CT,11-0000,Management Occupations,major,148160,0.8,89.236,1.29,73.74,153380,0.8,45.76,63.73,86.03,95190,132550,178930
