occ_code,tot_emp,emp_prse,jobs_1000,loc_quotient,h_mean,a_mean,mean_prse
00-0000,2053090,0,1000,1,25.67,53400,0.2
00-0000,311610,0,1000,1,33.6,69880,0.3
00-0000,3129720,0,1000,1,30.31,63040,0.5
00-0000,1271320,0,1000,1,24.64,51250,0.2
00-0000,17945910,0,1000,1,37,76960,0.4
00-0000,2832010,0,1000,1,34.6,71960,0.3
00-0000,1660330,0,1000,1,35.45,73740,0.4
00-0000,469280,0,1000,1,31.73,65990,0.4
00-0000,701840,0,1000,1,51.07,106230,0.5
00-0000,9568260,0,1000,1,28.95,60210,0.2
00-0000,4757900,0,1000,1,29.45,61250,0.6
00-0000,616980,0,1000,1,31.27,65030,0.7
00-0000,822690,0,1000,1,26.75,55640,0.4
00-0000,6011660,0,1000,1,32.27,67130,0.6
00-0000,3156740,0,1000,1,27.12,56420,0.4
00-0000,1544760,0,1000,1,27.12,56400,0.2
00-0000,1412000,0,1000,1,27.05,56270,0.3
00-0000,1963060,0,1000,1,25.97,54030,0.3
00-0000,1851860,0,1000,1,25.69,53440,0.3
00-0000,621750,0,1000,1,28.85,60000,0.7
00-0000,2677430,0,1000,1,35.4,73620,0.4
00-0000,3643450,0,1000,1,38.62,80330,0.4
00-0000,4347960,0,1000,1,29.13,60600,0.2
00-0000,2881100,0,1000,1,32.07,66700,0.5
00-0000,1149950,0,1000,1,22.87,47570,0.3
00-0000,2876400,0,1000,1,27.68,57580,0.6
00-0000,501730,0,1000,1,26.88,55920,0.6
00-0000,1000860,0,1000,1,27.92,58080,0.3
00-0000,1481820,0,1000,1,28.32,58900,0.9
00-0000,675150,0,1000,1,31.78,66110,0.3
00-0000,4202170,0,1000,1,35.57,73980,0.3
00-0000,845580,0,1000,1,27.65,57520,0.2
00-0000,9392830,0,1000,1,37.8,78620,0.4
00-0000,4795040,0,1000,1,28.71,59730,0.2
00-0000,417500,0.1,1000,1,28.39,59050,0.6
00-0000,5469160,0,1000,1,28.79,59890,0.3
00-0000,1664310,0,1000,1,25.7,53450,0.4
00-0000,1943180,0,1000,1,32.07,66710,0.3
00-0000,5948490,0,1000,1,29.77,61920,0.4
00-0000,488220,0,1000,1,32.02,66610,0.4
00-0000,2222950,0,1000,1,26.08,54250,0.3
00-0000,444400,0,1000,1,25.59,53230,0.3
00-0000,3219060,0,1000,1,26.94,56030,0.5
00-0000,13557950,0,1000,1,29.44,61240,0.4
00-0000,1678660,0,1000,1,29.36,61070,0.4
00-0000,300760,0,1000,1,30.18,62780,0.4
00-0000,3981130,0,1000,1,33.68,70050,0.5
00-0000,3495500,0,1000,1,37.56,78130,0.3
00-0000,688670,0,1000,1,25.1,52200,0.3
00-0000,2885990,0,1000,1,28.61,59500,0.3
00-0000,273750,0,1000,1,27.85,57930,0.3
11-0000,105580,0.8,51.424,0.74,56.21,116920,0.5
11-0000,23750,1.3,76.215,1.1,59.74,124260,0.9
11-0000,232000,0.9,74.128,1.07,59.53,123820,1.2
11-0000,89800,1.4,70.633,1.02,47.14,98060,0.6
11-0000,1308800,0.7,72.93,1.06,77.1,160360,1.4
11-0000,156700,1.7,55.331,0.8,74.99,155970,1
11-0000,148160,0.8,89.236,1.29,73.74,153380,0.8
11-0000,22890,1.5,48.782,0.71,76.65,159440,1.4
11-0000,101680,1,144.872,2.1,83.03,172710,0.9
11-0000,601150,0.9,62.827,0.91,62.44,129870,0.7
11-0000,304430,1.1,63.985,0.93,64.69,134550,0.8
11-0000,39790,1.1,64.493,0.93,58.2,121050,0.8
11-0000,62970,1.1,76.538,1.11,49,101920,1
11-0000,535650,0.7,89.101,1.29,65.06,135320,0.6
11-0000,161640,0.7,51.205,0.74,56.74,118010,0.8
11-0000,99710,0.6,64.545,0.93,52.12,108400,0.5
11-0000,72160,1.2,51.104,0.74,57.69,119990,0.7
11-0000,116200,1.4,59.192,0.86,50.95,105980,1.1
11-0000,114790,0.9,61.985,0.9,54.93,114250,0.6
11-0000,43000,3.4,69.161,1,55.62,115690,2.1
11-0000,244320,0.8,91.252,1.32,66.34,137990,0.7
11-0000,345350,1.3,94.786,1.37,77.15,160460,0.6
11-0000,277450,0.8,63.812,0.92,59.78,124330,0.7
11-0000,201710,0.7,70.01,1.01,64.47,134100,0.7
11-0000,57060,1,49.616,0.72,46.42,96560,1
11-0000,195600,1.1,68,0.98,52.62,109450,1.2
11-0000,28350,1.3,56.505,0.82,51.67,107470,1.1
11-0000,72910,1,72.852,1.05,54.96,114320,0.9
11-0000,115160,1.4,77.717,1.12,57.65,119910,3
11-0000,48580,0.9,71.958,1.04,67.81,141050,0.8
11-0000,297540,0.8,70.807,1.02,83.86,174430,0.6
11-0000,46340,1.4,54.804,0.79,56.91,118370,1
11-0000,611690,0.8,65.123,0.94,86.07,179030,0.7
11-0000,291430,0.8,60.777,0.88,63.95,133010,0.5
11-0000,24400,1.5,58.453,0.85,55.21,114830,1.9
11-0000,364650,0.5,66.674,0.96,56.89,118330,0.6
11-0000,93310,0.9,56.068,0.81,52.36,108920,0.9
11-0000,139440,0.8,71.76,1.04,59.96,124720,0.6
11-0000,403290,0.9,67.797,0.98,63.3,131660,1.2
11-0000,23210,2.2,47.53,0.69,67.52,140440,1.4
11-0000,131290,0.7,59.06,0.85,55.89,116250,0.5
11-0000,15720,2.5,35.382,0.51,59.84,124480,1.1
11-0000,218500,0.8,67.878,0.98,58.82,122340,0.6
11-0000,1124950,1.1,82.973,1.2,61.61,128150,0.7
11-0000,130640,0.9,77.826,1.13,57.45,119490,1.2
11-0000,23490,1.2,78.116,1.13,54.7,113770,1.5
11-0000,245040,1,61.551,0.89,71.71,149150,0.5
11-0000,193830,1.2,55.452,0.8,77.73,161680,0.6
11-0000,40150,1.3,58.301,0.84,49.54,103030,0.7
11-0000,134700,0.6,46.675,0.68,63.67,132440,0.5
11-0000,14830,1.4,54.168,0.78,53.25,110760,1.4
11-3021,5800,4.5,2.827,0.72,67.92,141270,1.4
11-3021,640,4.5,2.045,0.52,65.87,137010,1.7
11-3021,14180,4.5,4.531,1.16,78.8,163900,1
11-3021,3230,3.4,2.54,0.65,59.2,123130,1.2
11-3021,98430,1.5,5.485,1.41,104.34,217030,0.7
11-3021,12080,13.3,4.267,1.09,88.71,184520,5.3
11-3021,9950,2.5,5.992,1.54,78.58,163450,1.2
11-3021,1670,3.6,3.553,0.91,94.53,196630,0.7
11-3021,4550,3.5,6.478,1.66,90.97,189220,1.4
11-3021,27110,2.8,2.834,0.73,79.06,164440,1.1
11-3021,15350,2.6,3.227,0.83,83.99,174710,0.6
11-3021,1040,5.3,1.68,0.43,69.89,145370,1.4
11-3021,1420,5.9,1.729,0.44,64.26,133660,2.8
11-3021,26940,2,4.481,1.15,78.81,163930,0.8
11-3021,7200,3.1,2.279,0.58,67.1,139580,1
11-3021,3560,2.4,2.306,0.59,69.1,143730,0.9
11-3021,3810,3,2.697,0.69,81.16,168810,4.8
11-3021,2540,3.5,1.296,0.33,65.2,135610,1.9
11-3021,2300,4,1.244,0.32,69.66,144880,1.6
